sample_id,target_object,region,comparison,high_text,comparison_text,high_answer_class,comparison_answer_class,high_hallucinated,comparison_hallucinated,paired_advantage
sample_000506,dog,all,random,"Yes, there is a dog in the image, and it is standing on a grassy field.","Yes, there is a dog in the image, and it is standing on a patch of grass.",yes,yes,1,1,0
sample_000507,cat,all,random,"No, there is no cat in the image. The image features a toilet and a sink in a bathroom.","No, there is no cat in the image. The image features a toilet and a sink in a bathroom.",no,no,0,0,0
sample_000508,car,all,random,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is driving down a busy city street.",yes,yes,1,1,0
sample_000509,car,all,random,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000510,bus,all,random,"Yes, there is a bus in the image, parked on the side of the road.","Yes, there is a bus in the image, parked on the side of the road.",yes,yes,1,1,0
sample_000511,bench,all,random,"No, there is no bench in the image. The image features a man with a white shirt and a red collar.","No, there is no bench in the image. The image features a man standing on a tennis court.",no,no,0,0,0
sample_000512,chair,all,random,"Yes, there is a chair in the image, which is located in front of a table.","Yes, there is a chair in the image, which is located in front of a table.",yes,yes,1,1,0
sample_000513,bench,all,random,"Yes, there is a bench in the image, and a man is sitting on it.","Yes, there is a bench in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000514,bottle,all,random,"Yes, there is a bottle in the image, which is placed on the table along with the wine glasses.","Yes, there is a bottle in the image, which is placed on the table along with the wine glasses.",yes,yes,1,1,0
sample_000515,cat,all,random,"No, there is no cat in the image. The image features a laptop computer sitting on a desk.","No, there is no cat in the image. The image features a desk with a laptop and a book.",no,no,0,0,0
sample_000516,chair,all,random,"Yes, there is a chair in the image, and a man is sitting on it.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000519,chair,all,random,"Yes, there is a chair in the image, and it is positioned in front of the laptop.","Yes, there is a chair in the image, and it is positioned in front of the laptop.",yes,yes,1,1,0
sample_000520,bench,all,random,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000521,car,all,random,"Yes, there is a car in the image, and it is parked in the background.","Yes, there is a car in the image, and it is parked in the background.",yes,yes,1,1,0
sample_000522,bottle,all,random,"Yes, there is a bottle in the image, and it is placed on the table.","Yes, there is a bottle in the image, and it is placed on the table.",yes,yes,1,1,0
sample_000523,chair,all,random,"Yes, there is a chair in the image, and the cat is sitting on top of it.","Yes, there is a chair in the image, and the cat is sitting on top of it.",yes,yes,1,1,0
sample_000524,bus,all,random,"No, there is no bus in the image. The image features a car driving down a highway.","No, there is no bus in the image. The image features a car driving down a highway.",no,no,0,0,0
sample_000526,bus,all,random,"Yes, there is a bus in the image, driving down a road.","Yes, there is a bus in the image, driving down a road.",yes,yes,1,1,0
sample_000527,chair,all,random,"Yes, there is a chair in the image, and it is positioned next to a table.","Yes, there is a chair in the image, and it is placed next to a table.",yes,yes,1,1,0
sample_000528,cat,all,random,"No, there is no cat in the image. The image features a dog laying on a bed.","No, there is no cat in the image. The image features a dog laying on a bed.",no,no,0,0,0
sample_000530,car,all,random,"Yes, there is a car in the image, and it is driving on a highway.","Yes, there is a car in the image, driving on a highway under a freeway sign.",yes,yes,1,1,0
sample_000532,chair,all,random,"Yes, there is a chair in the image, and it is located next to the table.","Yes, there is a chair in the image, and it is located next to the table where the food is placed.",yes,yes,1,1,0
sample_000533,bus,all,random,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000534,bottle,all,random,"Yes, there is a bottle in the image, which is placed on a table.","Yes, there is a bottle in the image, which is placed on a table.",yes,yes,1,1,0
sample_000535,chair,all,random,"Yes, there is a chair in the image, located near a window.","Yes, there is a chair in the image, located near a table.",yes,yes,1,1,0
sample_000536,bench,all,random,"No, there is no bench in the image. The image features a tree in a park, surrounded by grass and leaves.","No, there is no bench in the image. The image features a tree and a pile of leaves on the ground.",no,no,0,0,0
sample_000537,bus,all,random,"Yes, there is a bus in the image, and it is parked in a bus station.","Yes, there is a bus in the image, and it is parked in a bus station.",yes,yes,1,1,0
sample_000538,bus,all,random,"No, there is no bus in the image. The image shows a group of people walking on the tarmac near a large airplane.","No, there is no bus in the image. The image features a large jetliner with its door open, and a group of people walking around it.",no,no,0,0,0
sample_000539,car,all,random,"No, there is no car in the image. The image features a little girl standing next to a potted plant.","No, there is no car in the image. The image features a little girl standing next to a potted plant and holding an umbrella.",no,no,0,0,0
sample_000540,bottle,all,random,"Yes, there is a bottle in the image, which is placed next to the plate with the cake.","Yes, there is a bottle in the image, which is placed next to the plate with the cake.",yes,yes,1,1,0
sample_000541,dog,all,random,"No, there is no dog in the image. The image features a woman and a baby in a kitchen.","No, there is no dog in the image. The image features a woman and a child in a kitchen.",no,no,0,0,0
sample_000542,bench,all,random,Yes,"Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000543,bench,all,random,"Yes, there is a bench in the image, and two people are sitting on it.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000544,cat,all,random,"Yes, there is a cat in the image, and it is laying on top of a pile of stuffed animals.","No, there is no cat in the image. The image features a group of stuffed animals, including a stuffed elephant and a stuffed frog.",yes,no,1,0,-1
sample_000545,chair,all,random,"Yes, there is a chair in the image, which is located in the living room.","Yes, there is a chair in the image, which is located in the living room.",yes,yes,1,1,0
sample_000547,dog,all,random,"Yes, there is a dog in the image, and it is sitting in the back of a truck.","Yes, there is a dog in the image, and it is sitting in the back of a truck.",yes,yes,1,1,0
sample_000548,bus,all,random,"Yes, there is a bus in the image, and it is parked next to a train.","Yes, there is a bus in the image, and it is parked next to a building.",yes,yes,1,1,0
sample_000549,bench,all,random,"Yes, there is a bench in the image, and the boy is swinging a bat in front of it.","Yes, there is a bench in the image, and the boy is swinging a bat in front of it.",yes,yes,1,1,0
sample_000550,bench,all,random,"No, there is no bench in the image. Instead, there is a statue of a man sitting on a newspaper.","Yes, there is a bench in the image, and it is located next to a brick wall.",no,yes,0,1,1
sample_000551,chair,all,random,Yes,"Yes, there is a chair in the image, and it is located in a park.",yes,yes,1,1,0
sample_000552,car,all,random,"Yes, there is a car in the image, and it is parked on the street next to the bench.","Yes, there is a car in the image, and it is parked on the street next to the bench.",yes,yes,1,1,0
sample_000553,dog,all,random,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000554,chair,all,random,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000555,car,all,random,Yes,"Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000556,chair,all,random,"Yes, there is a chair in the image, and it is sitting under a blue umbrella.","Yes, there is a chair in the image, and it is sitting on the beach.",yes,yes,1,1,0
sample_000557,car,all,random,No,"No, there is no car in the image. The image features a baseball player holding a bat and a catcher with a baseball glove, both standing on a baseball field.",no,no,0,0,0
sample_000558,dog,all,random,"No, there is no dog in the image. The image features a cat sitting on a couch.","No, there is no dog in the image. The image features a cat sitting on a couch.",no,no,0,0,0
sample_000559,bottle,all,random,"Yes, there is a bottle in the image, which is placed on a countertop.","Yes, there is a bottle in the image, which is placed on the counter next to a blender.",yes,yes,1,1,0
sample_000560,chair,all,random,"Yes, there is a chair in the image, and it is located next to the bicycle.","Yes, there is a chair in the image, and it is located next to the bicycle.",yes,yes,1,1,0
sample_000561,chair,all,random,"Yes, there is a chair in the image, which is located in the corner of the room.","Yes, there is a chair in the image, located in the corner of the room.",yes,yes,1,1,0
sample_000563,chair,all,random,"Yes, there is a chair in the image, and it is located next to the table with the food.","Yes, there is a chair in the image, and it is located next to the plate of food.",yes,yes,1,1,0
sample_000564,chair,all,random,"Yes, there is a chair in the image, which is located in front of a window.","Yes, there is a chair in the image, located in front of a window.",yes,yes,1,1,0
sample_000565,cat,all,random,"No, there is no cat in the image. The image features a person's face on a screen, which is part of a television.","No, there is no cat in the image. The image features a television screen with a picture of a person on it.",no,no,0,0,0
sample_000566,bottle,all,random,"Yes, there is a bottle in the image, which is part of a display of various drinks.","Yes, there is a bottle in the image, which is part of a display of various drinks.",yes,yes,1,1,0
sample_000567,chair,all,random,"Yes, there is a chair in the image, and a child is sitting on it.","Yes, there is a chair in the image, and the child is sitting on it.",yes,yes,1,1,0
sample_000568,bus,all,random,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000570,bicycle,all,random,"Yes, there is a bicycle in the image, and it is being ridden by a person.","Yes, there is a bicycle in the image. It is a group of bicyclists riding down the street.",yes,yes,1,1,0
sample_000571,cat,all,random,"No, there is no cat in the image. The image features a dirty toilet with a blue wall.","No, there is no cat in the image. The image features a dirty toilet with a blue wall.",no,no,0,0,0
sample_000572,cat,all,random,"No, there is no cat in the image. The image features a baby sleeping in a bed.","No, there is no cat in the image. The image features a person, specifically a baby, laying in bed.",no,no,0,0,0
sample_000573,chair,all,random,"Yes, there is a chair in the image, and a cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000574,car,all,random,"Yes, there is a car in the image, and it is parked near the water.","Yes, there is a car in the image, and it is parked next to a body of water.",yes,yes,1,1,0
sample_000575,chair,all,random,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000577,chair,all,random,"No, there is no chair in the image. The image features a conveyor belt with a metal bowl on it.","No, there is no chair in the image. The image features a machine that is making donuts.",no,no,0,0,0
sample_000578,bicycle,all,random,"Yes, there is a bicycle in the image, and it is positioned in front of a brick wall.","Yes, there is a bicycle in the image, and it is positioned in front of a brick wall.",yes,yes,1,1,0
sample_000579,chair,all,random,"No, there is no chair in the image. The image features a man holding a tray of hot dogs.","Yes, there is a chair in the image, and the man is sitting on it while holding a tray of hot dogs.",no,yes,0,1,1
sample_000580,bottle,all,random,"Yes, there is a bottle in the image, which is placed on a shelf.","Yes, there is a bottle in the image, which is placed on a table.",yes,yes,1,1,0
sample_000581,chair,all,random,"No, there is no chair in the image. The image features a doorway with a window and a green door.","No, there is no chair in the image. The image features a green refrigerator and a window.",no,no,0,0,0
sample_000583,car,all,random,"Yes, there is a car in the image. It is a large blue truck driving down the street.","No, there is no car in the image. The image features a large truck driving down a street.",yes,no,1,0,-1
sample_000584,bicycle,all,random,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image, and two people are riding it.",yes,yes,1,1,0
sample_000585,cat,all,random,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000586,bicycle,all,random,"No, there is no bicycle in the image. The image features a train car with a yellow door and a window.","No, there is no bicycle in the image. The image features a train car with a yellow door and a window.",no,no,0,0,0
sample_000587,cat,all,random,"Yes, there is a cat in the image, and it is walking behind a bicycle wheel.","Yes, there is a cat in the image, and it is walking behind a bicycle wheel.",yes,yes,1,1,0
sample_000588,chair,all,random,"Yes, there is a chair in the image, which is located next to the couch.","Yes, there is a chair in the image, which is located next to the couch.",yes,yes,1,1,0
sample_000590,dog,all,random,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000591,dog,all,random,"No, there is no dog in the image. The image features a cat sitting on a wooden floor.","No, there is no dog in the image. The image features a cat sitting on a wooden floor.",no,no,0,0,0
sample_000592,car,all,random,"Yes, there is a car in the image, which is parked next to a building.","Yes, there is a car in the image, which is parked next to a building.",yes,yes,1,1,0
sample_000594,chair,all,random,"No, there is no chair in the image. The focus is on a man holding a baby and a woman holding a cake.","No, there is no chair in the image. The focus is on a man holding a baby and a woman holding a cake.",no,no,0,0,0
sample_000595,car,all,random,No,"No, there is no car in the image. The image features a baseball player swinging a bat on a baseball field.",no,no,0,0,0
sample_000596,chair,all,random,"Yes, there is a chair in the image, and the person is sitting on it.","Yes, there is a chair in the image, and the person is sitting on it.",yes,yes,1,1,0
sample_000598,bicycle,all,random,"Yes, there is a bicycle in the image, and it is parked in front of a screen.","Yes, there is a bicycle in the image, and it is parked in front of a screen.",yes,yes,1,1,0
sample_000599,bus,all,random,"No, there is no bus in the image. The image features a street with cars and traffic lights.","No, there is no bus in the image. The image features a street with cars and traffic lights.",no,no,0,0,0
sample_000600,bus,all,random,"Yes, there is a bus in the image, and it is parked on the street.","Yes, there is a bus in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000601,chair,all,random,"Yes, there is a chair in the image, located next to the kitchen counter.","Yes, there is a chair in the image, located in front of the kitchen counter.",yes,yes,1,1,0
sample_000602,bench,all,random,"Yes, there is a bench in the image, and it is located next to a table where people are sitting.","Yes, there is a bench in the image, and it is located next to a table where a group of people is sitting.",yes,yes,1,1,0
sample_000603,chair,all,random,"Yes, there is a chair in the image, and the child is standing next to it.","Yes, there is a chair in the image, and a young boy is playing with it.",yes,yes,1,1,0
sample_000604,chair,all,random,"No, there is no chair in the image. The image features a room with a table and a doorway.","No, there is no chair in the image. The image features a table and a doorway.",no,no,0,0,0
sample_000605,car,all,random,"Yes, there is a car in the image, and the person is standing next to it.","Yes, there is a car in the image, and the boy is riding his skateboard in front of it.",yes,yes,1,1,0
sample_000606,chair,all,random,"No, there is no chair in the image. The image features a young boy, a suitcase, and a woman walking down a sidewalk.","No, there is no chair in the image. The image features a young boy pulling a suitcase, a woman walking, and a man walking with a suitcase.",no,no,0,0,0
sample_000607,cat,all,random,"Yes, there is a cat in the image.","No, there is no cat in the image. The image features a person's hand and a cat's paw.",yes,no,1,0,-1
sample_000610,bicycle,all,random,"No, there is no bicycle in the image. The image features a man standing next to a stack of luggage, including suitcases and a backpack.","Yes, there is a bicycle in the image, and the man is standing next to it.",no,yes,0,1,1
sample_000611,bus,all,random,"Yes, there is a bus in the image, and it is driving down a busy street.","Yes, there is a bus in the image, and it is driving down a busy street.",yes,yes,1,1,0
sample_000612,bicycle,all,random,"No, there is no bicycle in the image. The image features a person walking down a road or a street.","Yes, there is a bicycle in the image, and a person is riding it down the road.",no,yes,0,1,1
sample_000614,car,all,random,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is parked on the side of the street.",yes,yes,1,1,0
sample_000616,chair,all,random,"Yes, there is a chair in the image, located in front of the television.","Yes, there is a chair in the image, located in front of the television.",yes,yes,1,1,0
sample_000617,chair,all,random,"Yes, there is a chair in the image, and the man is sitting in it.","Yes, there is a chair in the image, and the man is sitting in it.",yes,yes,1,1,0
sample_000618,cat,all,random,"Yes, there is a cat in the image.","No, there is no cat in the image. The image features a dog sitting on a couch.",yes,no,1,0,-1
sample_000619,chair,all,random,"Yes, there is a chair in the image, and the woman is sitting on it.","Yes, there is a chair in the image, and the woman is sitting on it.",yes,yes,1,1,0
sample_000620,car,all,random,"Yes, there is a car in the image, and it is parked in front of a building.","Yes, there is a car in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000621,dog,all,random,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000622,chair,all,random,"Yes, there is a chair in the image, and it is positioned in front of a desk.","Yes, there is a chair in the image, and it is positioned in front of a desk.",yes,yes,1,1,0
sample_000624,car,all,random,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000625,bus,all,random,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000626,car,all,random,"Yes, there is a car in the image.","Yes, there is a car in the image, which is parked in front of a large building.",yes,yes,1,1,0
sample_000627,car,all,random,"Yes, there is a car in the image, and it is parked next to the red bus.","Yes, there is a car in the image, and it is parked next to the red bus.",yes,yes,1,1,0
sample_000628,chair,all,random,"Yes, there is a chair in the image, and a man is sitting on it.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000629,dog,all,random,"No, there is no dog in the image. The image features a man and a woman standing in a pool of water.","No, there is no dog in the image. The image features a man and a woman standing in a pool, and there are cars in the background.",no,no,0,0,0
sample_000632,chair,all,random,"Yes, there is a chair in the image.","Yes, there is a chair in the image, and it is located next to a table.",yes,yes,1,1,0
sample_000634,chair,all,random,"No, there is no chair in the image. The image features a table with a television and a potted plant.","No, there is no chair in the image. The image features a television, a vase with flowers, and a bookshelf.",no,no,0,0,0
sample_000635,chair,all,random,"No, there is no chair in the image. The image features a man standing on a beach near the ocean.","No, there is no chair in the image. The image features a man standing on a beach near the ocean.",no,no,0,0,0
sample_000636,car,all,random,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000062,bottle,removed,low,"No, there is no bottle in the image. The image features a man and a woman standing next to each other.","No, there is no bottle in the image. The image features two men standing next to each other, with one of them holding a pair of scissors.",no,no,0,0,0
sample_000068,car,removed,low,"Yes, there is a car in the image, and it is driving past a street sign that has been knocked over.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000069,bus,removed,low,"Yes, there is a bus in the image. It is a large bus parked in a parking lot.","Yes, there is a bus in the image. It is a large bus parked in a parking lot.",yes,yes,1,1,0
sample_000073,cat,removed,low,"No, there is no cat in the image. The image features a close-up of a bunch of white balls, possibly marshmallows, on a dark background.","No, there is no cat in the image. The image features a close-up of a bunch of white balls, possibly marshmallows, on a dark background.",no,no,0,0,0
sample_000077,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000079,cat,removed,low,"Yes, there is a cat in the image, sitting on a chair in front of a television.","Yes, there is a cat in the image, sitting in front of a television.",yes,yes,1,1,0
sample_000080,cat,removed,low,"Yes, there is a cat in the image, and it is laying on a bed.","Yes, there is a cat in the image, and it is laying on a bed.",yes,yes,1,1,0
sample_000081,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000084,cat,removed,low,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image, and it is sitting on a table.",yes,yes,1,1,0
sample_000085,dog,removed,low,"Yes, there is a dog in the image, and it is sitting in front of a television.","Yes, there is a dog in the image, sitting in front of a television.",yes,yes,1,1,0
sample_000086,bus,removed,low,"Yes, there is a bus in the image, and it is parked on the side of the road.","Yes, there is a bus in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000088,cat,removed,low,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000090,chair,removed,low,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000092,bus,removed,low,"No, there is no bus in the image. The image features a car driving down a dark street.","No, there is no bus in the image. The image features a car driving down a dark street.",no,no,0,0,0
sample_000093,dog,removed,low,"Yes, there is a dog in the image, and it is sticking its head out of the window of a car.","Yes, there is a dog in the image, and it is sticking its head out of a car window.",yes,yes,1,1,0
sample_000094,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000095,bus,removed,low,"Yes, there is a bus in the image, and it is driving down a road.","Yes, there is a bus in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000096,bench,removed,low,"Yes, there is a bench in the image, and a person is sitting on it.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000097,bus,removed,low,"Yes, there is a bus in the image, and it is parked in a grassy area.","Yes, there is a bus in the image, and it is parked in a grassy area.",yes,yes,1,1,0
sample_000098,car,removed,low,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000099,car,removed,low,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image, and it is covered with a tarp.",yes,yes,1,1,0
sample_000100,bench,removed,low,"No, there is no bench in the image. The image features a truck and a trailer, which are parked in a dirt lot.","No, there is no bench in the image. The image features a truck, a trailer, and a tire.",no,no,0,0,0
sample_000101,car,removed,low,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000102,bus,removed,low,"Yes, there is a bus in the image, and it is driving down a city street.","Yes, there is a bus in the image, and it is driving down a city street.",yes,yes,1,1,0
sample_000103,car,removed,low,"Yes, there is a car in the image, and it is parked on the side of the road.","Yes, there is a car in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000104,dog,removed,low,"Yes, there is a dog in the image, and it is standing next to a fire hydrant.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000105,bicycle,removed,low,"Yes, there is a bicycle in the image, and it is parked on the sidewalk.","Yes, there is a bicycle in the image, and it is parked on the sidewalk.",yes,yes,1,1,0
sample_000106,cat,removed,low,"No, there is no cat in the image. The image features a couch with a table and a bowl on it.","No, there is no cat in the image. The image features a couch, a table, and some plates.",no,no,0,0,0
sample_000107,bus,removed,low,"Yes, there is a bus in the image, and it is parked at a bus stop.","Yes, there is a bus in the image, and it is parked at a bus stop.",yes,yes,1,1,0
sample_000108,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000109,cat,removed,low,"No, there is no cat in the image. The image features a person's hand and a blanket.","No, there is no cat in the image. The image features a person's hand and a blanket.",no,no,0,0,0
sample_000110,dog,removed,low,"Yes, there is a dog in the image, and it is laying on a bed.","Yes, there is a dog in the image, and it is laying on a bed.",yes,yes,1,1,0
sample_000111,bus,removed,low,"No, there is no bus in the image. The image features a car driving down a street with a tree in the background.","No, there is no bus in the image. The image features a car driving down a street with a tree in the background.",no,no,0,0,0
sample_000112,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000113,bottle,removed,low,"Yes, there is a bottle in the image, and it is placed on the table.","Yes, there is a bottle in the image, and it is placed on the table next to the cake.",yes,yes,1,1,0
sample_000114,cat,removed,low,"No, there is no cat in the image. The image features a person holding a suitcase and a magazine.","No, there is no cat in the image. The image features a person holding a suitcase and a magazine.",no,no,0,0,0
sample_000115,car,removed,low,"No, there is no car in the image. The image features a cat sitting on a surface.","No, there is no car in the image. The image features a cat sitting on a surface.",no,no,0,0,0
sample_000116,bench,removed,low,"Yes, there is a bench in the image, and the stuffed animals are sitting on it.","Yes, there is a bench in the image, and the two stuffed animals are sitting on it.",yes,yes,1,1,0
sample_000117,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000118,bus,removed,low,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000119,cat,removed,low,"No, there is no cat in the image. The image features a dog and a cat statue.","No, there is no cat in the image. The image features a dog and a cat statue.",no,no,0,0,0
sample_000120,cat,removed,low,"Yes, there is a cat in the image, and it is sitting on the edge of a sink.","Yes, there is a cat in the image, and it is sitting on the edge of a sink.",yes,yes,1,1,0
sample_000121,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000122,car,removed,low,"Yes, there is a car in the image, and it is driving next to a train.","Yes, there is a car in the image, and it is driving next to a train.",yes,yes,1,1,0
sample_000123,car,removed,low,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image, and it is parked in a parking lot.",yes,yes,1,1,0
sample_000124,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000125,bus,removed,low,"No, there is no bus in the image. The image features a dark room with a light source, possibly a window, and a reflection of a person in the room.","No, there is no bus in the image. The image features a dark room with a light source, possibly a window, and a reflection of a person in the room.",no,no,0,0,0
sample_000126,car,removed,low,"Yes, there is a car in the image, and it is driving down a street.","Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000127,bus,removed,low,"Yes, there is a bus in the image. It is a blue bus parked in front of a building.","Yes, there is a bus in the image. It is a blue and white bus parked in front of a building.",yes,yes,1,1,0
sample_000128,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000129,car,removed,low,"No, there is no car in the image. The image features a man sitting in front of a pile of carrots and potatoes.","No, there is no car in the image. The image features a man standing in front of a table full of carrots and potatoes.",no,no,0,0,0
sample_000130,chair,removed,low,"Yes, there is a chair in the image, and a cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000131,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000132,bus,removed,low,"Yes, there is a bus in the image. It is a large red bus driving down the street.","Yes, there is a bus in the image. It is a large bus driving down a street.",yes,yes,1,1,0
sample_000133,bottle,removed,low,"No, there is no bottle in the image. The image features a dog laying on a carpet.","No, there is no bottle in the image. The image features a dog laying on a carpet.",no,no,0,0,0
sample_000134,cat,removed,low,"No, there is no cat in the image. The image features a laptop computer and a mouse on a desk.","No, there is no cat in the image. The image features a laptop computer and a mouse on a desk.",no,no,0,0,0
sample_000135,chair,removed,low,"Yes, there is a chair in the image, and the cat is sitting on it.","Yes, there is a chair in the image, and the cat is sitting on it.",yes,yes,1,1,0
sample_000136,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000137,bench,removed,low,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000138,bicycle,removed,low,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000139,car,removed,low,"No, there is no car in the image. The image features a table with plates of food, a wine glass, and a bottle.","No, there is no car in the image. The image features a table with plates, glasses, and food.",no,no,0,0,0
sample_000140,cat,removed,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000141,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000142,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000143,dog,removed,low,"No, there is no dog in the image. The image features a person holding a suitcase and a magazine.","No, there is no dog in the image. The image features a person holding a suitcase with various items in it, including a magazine.",no,no,0,0,0
sample_000144,dog,removed,low,"No, there is no dog in the image. The image features a horse standing in a grassy field.","No, there is no dog in the image. The image features a horse standing in a grassy field.",no,no,0,0,0
sample_000145,bench,removed,low,"No, there is no bench in the image. The image features a wall with a brick pattern and a dark background.","No, there is no bench in the image. The image features a wall with a brick pattern and a dark background.",no,no,0,0,0
sample_000146,bus,removed,low,"No, there is no bus in the image. The image features a car driving down a street in a city.","No, there is no bus in the image. The image features a car driving down a street in a city.",no,no,0,0,0
sample_000147,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000148,bicycle,removed,low,"No, there is no bicycle in the image. The image features a man standing next to a motorcycle.","Yes, there is a bicycle in the image, and it is parked next to a motorcycle.",no,yes,0,1,1
sample_000149,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000150,bus,removed,low,"Yes, there is a bus in the image, and it is parked next to a building.","Yes, there is a bus in the image, and it is parked next to a building.",yes,yes,1,1,0
sample_000151,cat,removed,low,"No, there is no cat in the image. The image features a suitcase with a zipper and a handle.","Yes, there is a cat in the image, and it is sitting on top of the suitcase.",no,yes,0,1,1
sample_000152,dog,removed,low,"No, there is no dog in the image. The image features a laptop computer sitting on a bed.","Yes, there is a dog in the image, and it is laying on a bed next to a laptop computer.",no,yes,0,1,1
sample_000153,dog,removed,low,"No, there is no dog in the image. The image features a blue ball on a table.","No, there is no dog in the image. The image features a blue ball on a table.",no,no,0,0,0
sample_000154,chair,removed,low,"Yes, there is a chair in the image, and it is located inside a bus.","Yes, there is a chair in the image, located in the middle of the bus.",yes,yes,1,1,0
sample_000155,dog,removed,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
