sample_id,target_object,prompt,uncertainty_condition,random_condition,uncertainty_text,random_text,uncertainty_answer_class,random_answer_class,uncertainty_hallucinated,random_hallucinated,paired_advantage
sample_000332,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is a beer bottle.","Yes, there is a bottle in the image, which is a beer bottle.",yes,yes,1,1,0
sample_000333,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000334,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located in the living room.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000335,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image. It is laying on a rug, possibly on a couch.",yes,yes,1,1,0
sample_000336,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is laying on the couch.","Yes, there is a dog in the image, and it is laying on the couch.",yes,yes,1,1,0
sample_000337,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000338,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked next to a building.","Yes, there is a bus in the image, and it is parked next to a building.",yes,yes,1,1,0
sample_000339,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a car seat with a cat-shaped pillow on it.","No, there is no cat in the image. The image features a car seat with a black seat cover.",no,no,0,0,0
sample_000340,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000341,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image features a person standing on a wall near the ocean.","No, there is no bench in the image. The image features a man running on a beach near the ocean.",no,no,0,0,0
sample_000342,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features an elephant standing on a road or a hillside.","No, there is no car in the image. The image features a large elephant standing on a road or a dirt path.",no,no,0,0,0
sample_000343,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000344,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing in the grass near a tree.","Yes, there is a dog in the image, and it is walking through the grass.",yes,yes,1,1,0
sample_000345,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a train or subway car.","No, there is no car in the image. The image features a train on the tracks.",no,no,0,0,0
sample_000346,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing next to a fire hydrant.","Yes, there is a dog in the image, and it is standing next to a fire hydrant.",yes,yes,1,1,0
sample_000347,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and it is located next to a statue of a woman.","Yes, there is a bench in the image, and it is located next to a statue of a woman.",yes,yes,1,1,0
sample_000348,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000349,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a group of people riding motorcycles down the street.","No, there is no car in the image. The image features a group of motorcycles and a police officer on a motorcycle.",no,no,0,0,0
sample_000350,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing next to two women.","Yes, there is a dog in the image, and it is wearing a red plaid coat.",yes,yes,1,1,0
sample_000351,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image, parked next to a building.",yes,yes,1,1,0
sample_000352,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000353,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, lying on a bed.",yes,yes,1,1,0
sample_000354,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down a street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000355,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The image features a large pizza and a can of soda.","No, there is no chair in the image. The image features a pizza and a soda on a table.",no,no,0,0,0
sample_000356,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked next to a bus.","Yes, there is a car in the image, and it is parked next to a bus.",yes,yes,1,1,0
sample_000357,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000358,bicycle,Is there a bicycle in the image?,all,random_all,"No, there is no bicycle in the image. The image features a man sitting at a table with a sign that says ""cool frappes.""","No, there is no bicycle in the image. The image features a man sitting at a table in a restaurant.",no,no,0,0,0
sample_000359,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is located next to a window.","Yes, there is a chair in the image, and it is located next to a window.",yes,yes,1,1,0
sample_000360,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a man walking down a street with cars parked on the side.","No, there is no bus in the image. The image features a person walking down a street with parked cars on the side.",no,no,0,0,0
sample_000361,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is sitting on a desk next to a computer.","Yes, there is a cat in the image, and it is sitting on a desk next to a computer.",yes,yes,1,1,0
sample_000362,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image, sitting on a chair.",yes,yes,1,1,0
sample_000363,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, and a person is riding it.","Yes, there is a bicycle in the image, and a person is riding it.",yes,yes,1,1,0
sample_000364,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and the man is using his laptop while the cat is sitting on his lap.","Yes, there is a cat in the image, and the man is holding it while using his laptop.",yes,yes,1,1,0
sample_000365,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked in front of the bench where the statue is sitting.",yes,yes,1,1,0
sample_000366,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image shows a person standing in the snow with a backpack on their back.","No, there is no bench in the image. The image features a person standing in the snow, and there is a snow-covered ground.",no,no,0,0,0
sample_000367,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, and it is located next to the cat.","Yes, there is a bottle in the image, and it is located near the cat.",yes,yes,1,1,0
sample_000369,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is shown from the perspective of the back seat.","Yes, there is a car in the image, and it is shown from the perspective of the passenger seat.",yes,yes,1,1,0
sample_000370,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the man is sitting on it.","No, there is no chair in the image. The man is sitting at a table with a plate of food.",yes,no,1,0,-1
sample_000371,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is playing with a frisbee.","Yes, there is a dog in the image, and it is playing with a frisbee.",yes,yes,1,1,0
sample_000372,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000373,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located in the corner of the room.","Yes, there is a chair in the image, located in the corner of the room.",yes,yes,1,1,0
sample_000374,bicycle,Is there a bicycle in the image?,all,random_all,"No, there is no bicycle in the image. The image features a car driving down a road.","No, there is no bicycle in the image. The image features a car driving down a road.",no,no,0,0,0
sample_000375,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a bus with a yellow color scheme.","No, there is no car in the image. The image features a bus with a yellow and white color scheme.",no,no,0,0,0
sample_000376,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The image features a birthday cake with lit candles on a table.","No, there is no chair in the image. The image features a cake with lit candles on a table.",no,no,0,0,0
sample_000377,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked in front of a building.","Yes, there is a car in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000378,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a baseball field with a fence and a group of people playing baseball.","No, there is no car in the image. The image features a baseball game with players on the field.",no,no,0,0,0
sample_000379,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image, and it is the main focus of the scene.",yes,yes,1,1,0
sample_000380,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a close-up of a metal object, possibly a piece of machinery or a sculpture.","No, there is no cat in the image. The image features a close-up of a person's face, which is blurry and out of focus.",no,no,0,0,0
sample_000381,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, located in a park.","Yes, there is a bench in the image, located in the middle of a yard.",yes,yes,1,1,0
sample_000382,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is walking on the grass.",yes,yes,1,1,0
sample_000383,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, located in the kitchen area.","Yes, there is a bench in the image, located in the middle of the room.",yes,yes,1,1,0
sample_000384,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing in front of a fence.","Yes, there is a dog in the image, and it is standing in front of a tree.",yes,yes,1,1,0
sample_000385,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image.","No, there is no bus in the image. The image features a street with cars and a truck driving down it.",yes,no,1,0,-1
sample_000387,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and the jockey is riding the horse past the car.","Yes, there is a car in the image, and the jockey and horse are racing past it.",yes,yes,1,1,0
sample_000388,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and it is located next to a parking meter.","Yes, there is a bench in the image, and it is located next to a parking meter.",yes,yes,1,1,0
sample_000389,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000390,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a woman is sitting on it.","No, there is no chair in the image. The focus is on the half-eaten sandwich and the plate it is sitting on.",yes,no,1,0,-1
sample_000391,bottle,Is there a bottle in the image?,all,random_all,"No, there is no bottle in the image. The image features a toaster oven, a toaster, and a trash can.","No, there is no bottle in the image. The image features a toaster oven with a face drawn on it.",no,no,0,0,0
sample_000392,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing next to a red fire hydrant.","Yes, there is a dog in the image, and it is sitting next to a red fire hydrant.",yes,yes,1,1,0
sample_000393,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is sitting next to the man.","Yes, there is a cat in the image, and it is sitting next to the man.",yes,yes,1,1,0
sample_000394,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is located next to the computer.","Yes, there is a bottle in the image, which is located next to the computer.",yes,yes,1,1,0
sample_000395,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, lying on a couch.","Yes, there is a cat in the image, lying on a couch.",yes,yes,1,1,0
sample_000396,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000397,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the woman is sitting on it.","Yes, there is a chair in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000398,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a child is sitting on it.","Yes, there is a chair in the image, and a child is sitting on it.",yes,yes,1,1,0
sample_000399,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is parked in a parking lot.",yes,yes,1,1,0
sample_000400,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, driving down the street.",yes,yes,1,1,0
sample_000403,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is placed on the table along with the plates of food.","Yes, there is a bottle in the image, which is placed on the table along with the plates of food.",yes,yes,1,1,0
sample_000404,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is placed next to a slice of pizza.","Yes, there is a bottle in the image, which is placed next to a slice of pizza on a wooden cutting board.",yes,yes,1,1,0
sample_000405,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, lying on a bed next to a stuffed animal.","Yes, there is a cat in the image, sitting on a bed next to a stuffed animal.",yes,yes,1,1,0
sample_000406,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing next to a person.","Yes, there is a dog in the image, and it is standing next to a person.",yes,yes,1,1,0
sample_000407,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000408,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a person bending over a refrigerator, looking at the contents.","No, there is no cat in the image. The image features a person bending over a refrigerator, looking at the contents.",no,no,0,0,0
sample_000409,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and a group of people is standing in front of it.",yes,yes,1,1,0
sample_000410,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, which is a couch.","Yes, there is a chair in the image, which is located in the living room.",yes,yes,1,1,0
sample_000411,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The image features a plate of food on a table.","No, there is no chair in the image. The image features a plate of food on a table.",no,no,0,0,0
sample_000412,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the dog is sitting on it.","Yes, there is a chair in the image, and a dog is sitting on it.",yes,yes,1,1,0
sample_000413,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a man is sitting on it.","Yes, there is a bench in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000414,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000415,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is located next to a table.","Yes, there is a chair in the image, and it is located next to a table.",yes,yes,1,1,0
sample_000416,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The man is sitting on a wooden table.","No, there is no chair in the image. The man is sitting on a wooden table.",no,no,0,0,0
sample_000417,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is sitting in front of a curtain.",yes,yes,1,1,0
sample_000418,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image.","Yes, there is a chair in the image, and it is located next to a table.",yes,yes,1,1,0
sample_000419,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000420,car,Is there a car in the image?,all,random_all,Yes,"Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000421,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a computer keyboard and a mouse.","No, there is no cat in the image. The image features a computer keyboard and a mouse on a carpeted floor.",no,no,0,0,0
sample_000422,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000423,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image.","Yes, there is a bench in the image, and it is located next to a table.",yes,yes,1,1,0
sample_000424,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a baby is sitting in it.","Yes, there is a chair in the image, and a little girl is sitting on it.",yes,yes,1,1,0
sample_000425,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the girl is standing in front of it.","Yes, there is a chair in the image, and the girl is standing next to it.",yes,yes,1,1,0
sample_000426,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a person is sitting on it.","Yes, there is a bench in the image, and a couple is sitting on it.",yes,yes,1,1,0
sample_000427,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and the person is walking down the street with an umbrella.","Yes, there is a car in the image, and the person is walking down the street with an umbrella.",yes,yes,1,1,0
sample_000430,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image shows a street with a car and a building in the background.","No, there is no bus in the image. The image features a car driving down a street.",no,no,0,0,0
sample_000431,bicycle,Is there a bicycle in the image?,all,random_all,"No, there is no bicycle in the image. The image features a living room with a Christmas tree, a table, and a chair.","No, there is no bicycle in the image. The image features a living room with a Christmas tree, a table, and a chair.",no,no,0,0,0
sample_000432,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and it is located next to a fence.","Yes, there is a bench in the image, and it is located next to a large television screen.",yes,yes,1,1,0
sample_000433,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, driving down the street.",yes,yes,1,1,0
sample_000434,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image.","Yes, there is a car in the image, which is parked on the side of the road.",yes,yes,1,1,0
sample_000435,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a woman is sitting on it.","Yes, there is a chair in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000436,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a person taking a picture of their reflection in a car window.","No, there is no dog in the image. The image features a man taking a picture of himself in a car window.",no,no,0,0,0
sample_000437,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, which is located in the living room.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000438,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is placed next to the plate of food.","Yes, there is a bottle in the image, which is placed next to the plate of food.",yes,yes,1,1,0
sample_000439,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and the man is standing next to it.","Yes, there is a car in the image, and the man is standing next to it.",yes,yes,1,1,0
sample_000440,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located near the baby.","Yes, there is a chair in the image, located near the child.",yes,yes,1,1,0
sample_000441,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located next to a table.","Yes, there is a chair in the image, located next to the sink.",yes,yes,1,1,0
sample_000442,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The image features a table, a vase, and a cabinet.","Yes, there is a chair in the image, located next to a table.",no,yes,0,1,1
sample_000443,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located in front of a fireplace.","Yes, there is a chair in the image, located in front of a fireplace.",yes,yes,1,1,0
sample_000444,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and it is located in front of a table where a group of people is sitting.","Yes, there is a bench in the image, and a group of people is sitting on it.",yes,yes,1,1,0
sample_000445,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000446,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, which is located near the water.","Yes, there is a chair in the image, and it is located near the water.",yes,yes,1,1,0
sample_000447,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image.","Yes, there is a bench in the image, located on the sidewalk near a street.",no,yes,0,1,1
sample_000448,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and it is located in a park.","Yes, there is a bench in the image, and it is located in a park.",yes,yes,1,1,0
sample_000449,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is placed on a wooden floor.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000450,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000451,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the woman is sitting on it while eating a sandwich.","Yes, there is a chair in the image, and the woman is sitting on it.",yes,yes,1,1,0
sample_000454,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is positioned in front of the desk.","Yes, there is a chair in the image, and it is positioned in front of the desk.",yes,yes,1,1,0
sample_000455,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, parked next to the motorcycle.","Yes, there is a car in the image, parked next to the motorcycle.",yes,yes,1,1,0
sample_000456,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is placed next to the plate of food.","Yes, there is a bottle in the image, which is placed next to the plate of food.",yes,yes,1,1,0
sample_000457,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, parked in a parking lot.","Yes, there is a bus in the image, parked in a parking lot.",yes,yes,1,1,0
sample_000458,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000459,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a woman is sitting on it.","Yes, there is a bench in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000460,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, sitting on the edge of the sink.","Yes, there is a cat in the image, sitting on the edge of the sink.",yes,yes,1,1,0
sample_000461,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a pile of boxes, a desk, and a chair.","No, there is no cat in the image. The image features a pile of boxes, a desk, and a drawer.",no,no,0,0,0
sample_000462,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The image features a little girl and a woman sitting at a table.","No, there is no chair in the image. The image features a little girl and a woman sitting at a table.",no,no,0,0,0
sample_000463,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and the two women are standing next to it.","Yes, there is a bus in the image, and the two women are standing next to it.",yes,yes,1,1,0
sample_000464,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000465,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a man wearing a Santa hat and glasses.","No, there is no dog in the image. The image features a man wearing a Santa hat and standing in front of a Christmas tree.",no,no,0,0,0
sample_000466,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a chair with a floral pattern and a painting on the wall behind it.","No, there is no dog in the image. The image features a chair with a floral pattern and a painting on the wall behind it.",no,no,0,0,0
sample_000467,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000468,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is placed next to a sandwich.","Yes, there is a bottle in the image, which is placed on the table along with the sandwich and other food items.",yes,yes,1,1,0
sample_000469,car,Is there a car in the image?,all,random_all,Yes,"Yes, there is a car in the image, parked on the side of the street.",yes,yes,1,1,0
sample_000470,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is placed on the table next to the plate of food.","Yes, there is a bottle in the image, which is placed on the table along with the plates of food.",yes,yes,1,1,0
sample_000471,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The image features a laptop computer sitting on a bed.","No, there is no chair in the image. The image features a laptop computer sitting on a bed.",no,no,0,0,0
sample_000472,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a motorcycle parked on the grass.","No, there is no cat in the image. The image features a motorcycle parked on a sidewalk.",no,no,0,0,0
sample_000473,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located in front of a bookshelf.","Yes, there is a chair in the image, located in front of the bookshelf.",yes,yes,1,1,0
sample_000474,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located in front of a window.","Yes, there is a chair in the image, located in front of a window.",yes,yes,1,1,0
sample_000475,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000477,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image.","Yes, there is a chair in the image, and it is located in the kitchen.",yes,yes,1,1,0
sample_000479,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a truck with a green hood and a license plate.","No, there is no bus in the image. The image features a truck with a green hood.",no,no,0,0,0
sample_000480,bicycle,Is there a bicycle in the image?,all,random_all,"No, there is no bicycle in the image. The image features a person standing on a rocky beach near the ocean.","No, there is no bicycle in the image. The image features a person walking on a rocky beach.",no,no,0,0,0
sample_000481,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a man is sitting on it.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000483,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000484,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000486,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, parked on the side of the street.","Yes, there is a car in the image, parked on the side of the street.",yes,yes,1,1,0
sample_000487,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving past a large building.","Yes, there is a bus in the image, and it is driving past a large building.",yes,yes,1,1,0
sample_000488,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked next to a large airplane.","Yes, there is a car in the image, and it is parked next to a large airplane.",yes,yes,1,1,0
sample_000489,bicycle,Is there a bicycle in the image?,all,random_all,No,"No, there is no bicycle in the image. The image features a young boy riding a skateboard.",no,no,0,0,0
sample_000490,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000491,chair,Is there a chair in the image?,all,random_all,"No, there is no chair in the image. The image shows a desk with a laptop, a keyboard, and a picture.","No, there is no chair in the image. The image shows a desk with a laptop, a keyboard, and a monitor.",no,no,0,0,0
sample_000492,bottle,Is there a bottle in the image?,all,random_all,"No, there is no bottle in the image. The image features a black and white photo of a plant, a flower, and a stem.","No, there is no bottle in the image. The image features a black object, which is a stick or a pole, and a white background.",no,no,0,0,0
sample_000493,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a man is sitting on it.","Yes, there is a bench in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000494,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a man and a little girl are sitting on it.","Yes, there is a chair in the image, and a man and a little girl are sitting on it.",yes,yes,1,1,0
sample_000495,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000496,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, located on the sidewalk.","Yes, there is a bench in the image, located on a sidewalk near a crosswalk.",yes,yes,1,1,0
sample_000497,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image.","Yes, there is a chair in the image, which is located in front of a mirror.",yes,yes,1,1,0
sample_000499,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is located next to a row of bicycles.","Yes, there is a chair in the image, and it is located next to a bicycle.",yes,yes,1,1,0
sample_000500,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000501,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked in front of a building.","Yes, there is a car in the image, and it is parked in a parking lot.",yes,yes,1,1,0
sample_000502,bottle,Is there a bottle in the image?,all,random_all,"No, there is no bottle in the image. The image features a cell phone and a cup on a table.","No, there is no bottle in the image. The image features a cell phone, a remote, and a cup on a table.",no,no,0,0,0
sample_000503,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image features a grassy field with a tree in the background.","No, there is no bench in the image. The image features a grassy field with a pole sticking out of the ground.",no,no,0,0,0
